NM,FQ,FM,LQ
11760,11043,9535,10296
11753,10597,9642,10840
11498,10171,9934,11366
11066,9816,10395,11727
10565,9591,10947,11826
10099,9563,11450,11656
9744,9768,11758,11286
9556,10177,11799,10805
9572,10690,11591,10304
9795,11178,11211,9869
10186,11540,10743,9574
10669,11720,10264,9475
11148,11701,9850,9594
11532,11489,9575,9916
11747,11109,9505,10383
11745,10624,9664,10908
11513,10131,10028,11387
11080,9747,10514,11718
10537,9559,11013,11818
10018,9597,11432,11646
9654,9832,11697,11247
9511,10207,11760,10729
9586,10660,11597,10221
9837,11127,11229,9823
10211,11527,10732,9589
10659,11768,10222,9535
11130,11770,9815,9659
11550,11515,9592,9952
11810,11068,9576,10396
11804,10552,9748,10935
11499,10089,10072,11442
10986,9756,10504,11763
10428,9585,10985,11799
9967,9592,11426,11563
9669,9787,11713,11156
9546,10156,11767,10692
9591,10652,11572,10251
9805,11172,11187,9884
10181,11592,10709,9630
10683,11802,10242,9532
11223,11753,9861,9640
11657,11476,9620,9974
11849,11043,9564,10478
11749,10544,9715,11026
11406,10067,10058,11468
10931,9697,10529,11707
10427,9510,11021,11721
9976,9543,11430,11534
9647,9791,11676,11191
9496,10204,11723,10746
9558,10704,11565,10271
9832,11199,11222,9856
10276,11594,10748,9590
10800,11808,10231,9538
11295,11775,9798,9710
11656,11482,9554,10063
11811,10993,9548,10520
11722,10440,9752,11000
11398,9962,10102,11418
10913,9646,10528,11692
10380,9525,10973,11753
9920,9592,11379,11575
9624,9825,11678,11197
9530,10206,11780,10713
9637,10700,11622,10236
9916,11232,11214,9861
10326,11670,10668,9636
10818,11866,10144,9586
11309,11748,9766,9719
11684,11374,9579,10033
11827,10879,9573,10492
11695,10388,9734,11006
11334,9978,10043,11454
10853,9684,10478,11721
10368,9537,10980,11750
9962,9566,11449,11552
9683,9801,11759,11187
9566,10237,11805,10735
9638,10797,11575,10267
9913,11335,11143,9857
10362,11697,10629,9586
10890,11803,10138,9524
11364,11660,9752,9692
11672,11330,9529,10057
11760,10886,9507,10536
11631,10405,9694,11027
11326,9964,10063,11440
10897,9643,10549,11703
10412,9507,11061,11768
9959,9592,11496,11603
9639,9889,11761,11222
9532,10339,11792,10701
9665,10851,11567,10170
9992,11325,11128,9759
10429,11664,10577,9548
10889,11789,10056,9549
11303,11665,9680,9733
11612,11323,9507,10066
11752,10851,9542,10506
11675,10359,9759,11002
11366,9947,10118,11468
10885,9677,10578,11783
10352,9578,11082,11832
9908,9656,11540,11583
9645,9915,11819,11122
9584,10338,11814,10593
9705,10859,11516,10119
9977,11356,11027,9768
10371,11689,10498,9566
10840,11776,10043,9532
11304,11618,9721,9686
11654,11283,9555,10032
11792,10855,9561,10532
11672,10410,9750,11090
11325,10005,10126,11559
10846,9696,10644,11806
10348,9551,11191,11777
9921,9625,11617,11506
9633,9930,11805,11075
9533,10397,11728,10576
9643,10911,11437,10096
9948,11352,11012,9717
10389,11640,10533,9504
10884,11738,10072,9502
11334,11636,9709,9716
11654,11346,9519,10112
11780,10907,9551,10618
11675,10399,9811,11135
11343,9939,10240,11560
10841,9634,10741,11794
10289,9548,11211,11770
9827,9678,11567,11486
9560,9980,11748,11019
9519,10395,11714,10495
9677,10863,11458,10030
9987,11315,11022,9702
10401,11661,10504,9547
10869,11807,10026,9572
11333,11692,9695,9770
11699,11336,9563,10136
11849,10839,9633,10634
11702,10332,9875,11177
11282,9920,10251,11615
10728,9656,10712,11810
10204,9562,11187,11716
9814,9651,11572,11395
9593,9926,11765,10955
9543,10362,11710,10496
9663,10885,11423,10083
9953,11379,10985,9760
10395,11719,10500,9566
10933,11815,10062,9554
11445,11656,9734,9765
11781,11297,9569,10187
11838,10820,9603,10728
11616,10318,9845,11239
11202,9879,10254,11595
10705,9585,10745,11735
10217,9495,11211,11660
9813,9626,11557,11403
9557,9955,11722,11009
9498,10419,11682,10539
9658,10931,11439,10078
10018,11394,11028,9717
10510,11721,10516,9541
11035,11830,10017,9591
11479,11673,9658,9850
11753,11275,9521,10257
11799,10739,9614,10731
11600,10208,9890,11192
11195,9798,10278,11559
10676,9569,10719,11748
10163,9533,11157,11707
9769,9674,11531,11434
9560,9977,11757,10995
9558,10415,11750,10499
9746,10942,11469,10056
10088,11453,10977,9742
10542,11795,10420,9591
11044,11847,9952,9619
11497,11599,9657,9834
11776,11155,9553,10218
11798,10653,9620,10716
11555,10195,9847,11217
11130,9835,10217,11599
10638,9601,10695,11767
10180,9526,11203,11693
9824,9645,11619,11412
9612,9976,11819,10998
9574,10484,11736,10525
9738,11053,11399,10070
10098,11524,10915,9711
10594,11773,10400,9526
11111,11761,9948,9567
11520,11529,9627,9831
11733,11143,9490,10258
11726,10675,9563,10754
11518,10202,9838,11222
11153,9806,10270,11580
10690,9559,10783,11764
10204,9521,11274,11730
9794,9705,11644,11460
9562,10079,11809,10998
9564,10567,11722,10451
9792,11071,11391,9961
10175,11494,10884,9637
10628,11745,10332,9522
11074,11762,9866,9607
11451,11536,9578,9861
11696,11127,9499,10246
11750,10634,9619,10722
11569,10168,9905,11222
11171,9813,10316,11640
10647,9616,10805,11847
10137,9592,11305,11755
9767,9749,11697,11391
9595,10085,11853,10880
9616,10563,11708,10366
9804,11089,11309,9944
10132,11526,10789,9657
10567,11756,10285,9526
11048,11733,9886,9573
11478,11491,9631,9814
11748,11107,9537,10240
11774,10664,9622,10786
11544,10227,9899,11323
11124,9853,10350,11704
10622,9606,10898,11826
10143,9553,11406,11678
9768,9735,11730,11324
9558,10123,11796,10852
9552,10624,11616,10354
9752,11116,11260,9910
10127,11497,10806,9599
10604,11708,10326,9477
11093,11722,9898,9573
11498,11537,9601,9876
11741,11172,9507,10332
11767,10686,9645,10856
11556,10180,9991,11344
11133,9777,10463,11692
10588,9567,10957,11814
10060,9580,11381,11668
9678,9792,11666,11290
9513,10148,11758,10785
9565,10593,11628,10277
9797,11066,11285,9869
10158,11487,10800,9616
10603,11760,10284,9540
11083,11794,9861,9641
11520,11563,9614,9915
11806,11124,9574,10347
11824,10605,9723,10881
11538,10131,10026,11394
11037,9781,10444,11733
10481,9589,10921,11797
10011,9574,11370,11591
9696,9746,11682,11208
9550,10098,11771,10754
9574,10586,11610,10312
9769,11116,11246,9932
10134,11558,10776,9657
10634,11798,10299,9537
11180,11776,9901,9621
11629,11517,9636,9934
11843,11092,9555,10424
11765,10591,9683,10966
11445,10105,10006,11417
10984,9722,10463,11679
10483,9515,10955,11724
10025,9524,11378,11569
9678,9750,11652,11248
9505,10149,11732,10812
9544,10646,11604,10333
9800,11149,11281,9902
10232,11565,10809,9614
10752,11804,10283,9538
11250,11794,9830,9686
11624,11517,9565,10017
11800,11039,9534,10460
11736,10489,9715,10936
11440,10003,10047,11366
10972,9674,10463,11666
10444,9531,10911,11762
9972,9575,11334,11617
9656,9789,11659,11259
9539,10156,11794,10778
9625,10646,11661,10294
9885,11185,11268,9900
10282,11639,10723,9654
10765,11857,10190,9579
11258,11764,9795,9688
11646,11410,9587,9981
11816,10928,9559,10426
11715,10442,9697,10941
11383,10024,9990,11405
10918,9716,10417,11703
10432,9547,10925,11767
10012,9554,11411,11596
9713,9768,11747,11246
9572,10189,11821,10793
9622,10744,11612,10315
9877,11286,11193,9888
10309,11664,10681,9598
10828,11792,10185,9512
11306,11677,9783,9657
11635,11371,9539,10002
11752,10943,9494,10471
11657,10465,9660,10967
11378,10016,10015,11398
10962,9677,10496,11690
10475,9518,11015,11784
10007,9580,11463,11643
9664,9856,11750,11272
9534,10290,11804,10751
9642,10795,11600,10212
9948,11272,11176,9788
10369,11627,10633,9557
10823,11780,10107,9535
11245,11689,9714,9698
11575,11375,9518,10014
11748,10916,9532,10445
11704,10424,9730,10946
11420,10000,10076,11431
10948,9710,10531,11770
10411,9586,11038,11846
9950,9640,11506,11617
9664,9878,11803,11166
9580,10284,11821,10640
9676,10797,11549,10162
9927,11299,11081,9798
10307,11654,10559,9577
10774,11774,10097,9521
11249,11650,9758,9654
11624,11339,9571,9982
11795,10922,9553,10477
11705,10472,9725,11039
11378,10052,10086,11524
10905,9722,10596,11793
10399,9553,11142,11787
9956,9604,11577,11536
9648,9885,11786,11119
9525,10336,11737,10627
9612,10845,11475,10144
9896,11297,11071,9752
10327,11611,10597,9520
10823,11741,10129,9494
11288,11672,9747,9687
11633,11402,9533,10068
11786,10970,9543,10566
11707,10455,9783,11085
11391,9979,10195,11522
10895,9654,10685,11776
10338,9545,11153,11778
9862,9652,11521,11519
9575,9932,11727,11072
9510,10332,11727,10554
9647,10798,11502,10083
9941,11263,11086,9740
10346,11635,10571,9565
10817,11813,10082,9567
11293,11727,9730,9743
11681,11388,9574,10092
11855,10893,9621,10581
11730,10379,9841,11123
11327,9954,10198,11573
10781,9672,10648,11792
10254,9557,11124,11729
9851,9623,11526,11436
9611,9876,11750,11013
9540,10299,11729,10560
9638,10822,11473,10140
9911,11333,11049,9800
10346,11699,10563,9584
10886,11823,10112,9547
11408,11688,9762,9736
11762,11341,9573,10139
11841,10868,9583,10669
11642,10363,9802,11180
11249,9912,10194,11552
10762,9601,10678,11721
10272,9489,11150,11679
9855,9598,11517,11450
9578,9908,11714,11073
9496,10362,11705,10607
9635,10875,11489,10133
9981,11353,11088,9753
10465,11702,10573,9554
10987,11835,10060,9580
11437,11699,9681,9815
11727,11317,9520,10202
11799,10787,9590,10666
11629,10254,9844,11132
11247,9835,10217,11518
10739,9589,10654,11739
10224,9529,11102,11732
9813,9651,11497,11486
9583,9934,11754,11059
9557,10363,11776,10561
9724,10891,11516,10105
10050,11412,11032,9771
10491,11773,10472,9597
10989,11848,9991,9602
11448,11624,9678,9792
11749,11199,9550,10159
11800,10707,9596,10648
11590,10248,9803,11157
11189,9876,10161,11563
10704,9624,10637,11765
10239,9527,11155,11723
9866,9623,11594,11463
9631,9936,11820,11056
9570,10433,11761,10579
9711,11001,11442,10110
10053,11481,10966,9733
10536,11748,10450,9527
11049,11764,9987,9546
11468,11559,9650,9786
11707,11194,9491,10196
11733,10737,9541,10689
11557,10262,9796,11169
11213,9852,10219,11551
10755,9584,10733,11764
10261,9521,11234,11757
9832,9684,11620,11505
9576,10038,11807,11048
9555,10512,11743,10498
9759,11014,11431,9997
10123,11445,10938,9657
10564,11719,10387,9522
11009,11768,9911,9585
11401,11574,9603,9818
11674,11187,9502,10189
11761,10701,9601,10662
11612,10229,9870,11173
11232,9857,10271,11614
10709,9637,10759,11846
10188,9590,11263,11778
9798,9724,11669,11429
9603,10038,11847,10927
9599,10503,11727,10412
9765,11026,11353,9983
10075,11477,10848,9679
10502,11735,10345,9529
10985,11748,9933,9554
11434,11535,9659,9774
11733,11169,9544,10187
11791,10730,9607,10731
11587,10284,9866,11278
11180,9892,10305,11677
10678,9621,10847,11822
10188,9545,11357,11697
9796,9702,11696,11362
9563,10070,11788,10902
9532,10559,11640,10405
9712,11052,11310,9955
10070,11452,10869,9627
10542,11693,10389,9483
11038,11740,9948,9556
11462,11583,9629,9840
11732,11232,9511,10284
11785,10746,9627,10804
11596,10228,9955,11297
11184,9808,10411,11662
10640,9577,10898,11807
10103,9567,11326,11688
9706,9755,11629,11334
9518,10093,11751,10843
9548,10528,11655,10336
9759,11005,11340,9917
10108,11445,10868,9646
10549,11749,10347,9548
11035,11816,9906,9626
11491,11606,9638,9880
11798,11177,9574,10297
11840,10656,9700,10825
11575,10172,9981,11344
11087,9807,10384,11700
10534,9596,10856,11792
10057,9558,11313,11619
9725,9708,11648,11260
9559,10042,11771,10818
9561,10522,11644,10375
9737,11059,11304,9983
10089,11523,10840,9688
10585,11791,10357,9543
11136,11796,9940,9604
11599,11554,9654,9895
11831,11138,9548,10369
11779,10637,9652,10905
11481,10145,9955,11363
11037,9749,10398,11648
10542,9523,10888,11726
10076,9509,11325,11603
9713,9712,11626,11305
9517,10096,11739,10880
9533,10588,11640,10396
9771,11100,11335,9949
10190,11534,10868,9639
10705,11794,10334,9539
11203,11807,9864,9663
11588,11550,9578,9971
11785,11083,9523,10399
11749,10538,9681,10871
11481,10048,9993,11313
11032,9704,10400,11639
10508,9541,10851,11768
10028,9563,11288,11656
9690,9757,11639,11319
9550,10109,11804,10843
9614,10592,11699,10349
9855,11137,11320,9939
10236,11606,10777,9672
10711,11844,10237,9574
11203,11775,9827,9659
11604,11446,9597,9931
11800,10980,9546,10362
11733,10497,9664,10875
11430,10074,9940,11355
10982,9751,10359,11683
10496,9562,10870,11780
10065,9545,11373,11636
9745,9738,11733,11300
9581,10144,11832,10850
9607,10691,11644,10362
9842,11235,11240,9920
10256,11627,10733,9611
10765,11779,10232,9503
11246,11693,9817,9624
11592,11413,9553,9949
11741,11001,9486,10406
11680,10528,9630,10906
11428,10071,9970,11355
11026,9715,10445,11674
10538,9533,10967,11798
10055,9570,11430,11678
9691,9825,11734,11320
9537,10241,11811,10800
9621,10736,11630,10255
9904,11216,11223,9819
10308,11587,10690,9569
10757,11768,10159,9526
11186,11710,9752,9667
11537,11424,9535,9964
11741,10982,9526,10386
11731,10490,9705,10890
11473,10054,10037,11390
11012,9744,10484,11756
10467,9597,10992,11856
9991,9627,11468,11647
9685,9841,11782,11209
9577,10229,11826,10687
9650,10732,11581,10206
9880,11239,11135,9830
10246,11616,10620,9593
10708,11770,10152,9516
11192,11681,9797,9626
11593,11393,9589,9937
11796,10986,9550,10422
11735,10535,9701,10988
11427,10101,10047,11486
10961,9750,10547,11775
10451,9557,11090,11792
9994,9584,11533,11563
9666,9842,11762,11164
9519,10276,11743,10680
9583,10778,11511,10195
9849,11240,11128,9791
10267,11579,10662,9539
10764,11742,10187,9491
11241,11703,9788,9662
11609,11456,9550,10026
11790,11030,9538,10515
11735,10510,9755,11035
11436,10019,10150,11482
10946,9675,10628,11756
10386,9544,11094,11782
