NM,FQ,FM,LQ
11173,9816,10400,11688
10605,9609,10874,11834
10079,9590,11321,11686
9714,9750,11654,11302
9551,10069,11783,10810
9574,10518,11659,10331
9759,11024,11311,9939
10084,11480,10829,9671
10530,11765,10333,9550
11042,11797,9924,9602
11519,11570,9665,9853
11819,11159,9578,10298
11828,10673,9675,10856
11543,10200,9957,11373
11070,9813,10388,11700
10547,9574,10890,11767
10083,9528,11351,11598
9733,9701,11658,11265
9539,10067,11749,10840
9529,10562,11615,10386
9722,11080,11296,9966
10106,11510,10858,9650
10622,11763,10372,9516
11159,11788,9927,9612
11587,11574,9621,9929
11804,11159,9526,10396
11769,10631,9664,10902
11500,10112,9993,11343
11058,9719,10433,11639
10537,9522,10894,11743
10043,9538,11306,11627
9679,9747,11608,11309
9508,10110,11743,10850
9558,10573,11661,10354
9806,11078,11345,9927
10204,11535,10847,9654
10686,11821,10296,9571
11178,11827,9847,9679
11588,11537,9595,9959
11812,11049,9558,10376
11774,10515,9701,10870
11473,10056,9986,11340
10998,9732,10378,11671
10476,9564,10841,11774
10024,9559,11307,11626
9715,9731,11671,11281
9574,10089,11816,10830
9611,10603,11676,10368
9827,11170,11284,9964
10213,11627,10766,9672
10719,11832,10258,9547
11239,11747,9853,9633
11633,11433,9600,9935
11796,10996,9522,10396
11705,10522,9637,10912
11408,10079,9939,11364
10985,9727,10389,11661
10517,9526,10908,11754
10073,9527,11388,11633
9726,9755,11712,11321
9546,10180,11802,10864
9589,10711,11640,10346
9860,11223,11262,9884
10296,11603,10751,9587
10791,11778,10219,9513
11242,11717,9782,9660
11571,11435,9527,9981
11731,10995,9491,10412
11693,10492,9664,10888
11448,10032,10005,11339
11026,9702,10454,11683
10507,9554,10946,11822
10018,9602,11406,11687
9680,9836,11737,11297
9560,10224,11836,10763
9656,10715,11645,10240
9918,11222,11205,9837
10294,11619,10653,9602
10736,11794,10138,9543
11188,11702,9763,9656
11565,11388,9566,9939
11771,10949,9546,10377
11731,10487,9696,10911
11441,10076,10008,11424
10976,9764,10466,11767
10462,9591,11005,11833
10016,9598,11501,11616
9708,9820,11800,11204
9572,10241,11810,10711
9622,10771,11550,10231
9860,11268,11122,9828
10258,11612,10635,9565
10746,11743,10174,9485
11229,11660,9800,9620
11598,11399,9563,9964
11770,11007,9516,10459
11708,10541,9689,11001
11428,10076,10070,11467
10983,9713,10583,11752
10461,9540,11106,11796
9974,9603,11518,11590
9631,9881,11739,11181
9504,10300,11742,10664
9603,10773,11531,10157
9889,11221,11144,9761
10299,11573,10650,9541
10764,11760,10150,9520
11218,11726,9754,9693
11591,11453,9548,10030
11799,10997,9566,10493
11758,10472,9787,11017
11441,10009,10155,11494
10920,9699,10608,11786
10353,9575,11076,11798
9891,9637,11483,11531
9617,9869,11736,11087
9539,10250,11757,10593
9636,10736,11530,10149
9884,11239,11110,9809
10269,11636,10608,9602
10757,11817,10140,9552
11274,11728,9792,9690
11689,11406,9604,10034
11864,10945,9598,10545
11729,10453,9777,11103
11342,10009,10131,11545
10833,9681,10604,11755
10330,9523,11101,11713
9912,9575,11505,11467
9626,9839,11723,11089
9510,10275,11716,10645
9590,10795,11497,10197
9874,11289,11118,9811
10331,11651,10646,9567
10872,11808,10164,9531
11375,11723,9766,9732
11714,11409,9546,10127
11817,10926,9558,10622
11671,10385,9789,11106
11318,9911,10176,11490
10830,9603,10633,11709
10308,9503,11080,11720
9863,9609,11453,11513
9579,9891,11694,11123
9506,10305,11742,10632
9650,10798,11555,10153
9973,11298,11141,9786
10417,11696,10596,9595
10912,11863,10073,9597
11378,11726,9706,9783
11714,11328,9553,10126
11825,10804,9599,10586
11665,10296,9807,11084
11275,9895,10142,11508
10766,9639,10573,11748
10266,9541,11052,11741
9872,9612,11491,11498
9635,9868,11773,11094
9571,10306,11793,10626
9687,10863,11527,10180
9982,11400,11059,9815
10431,11754,10529,9589
10958,11823,10059,9554
11434,11624,9717,9739
11731,11246,9539,10122
11780,10786,9546,10621
11592,10321,9746,11123
11234,9911,10123,11517
10785,9618,10618,11731
10318,9501,11138,11731
9905,9604,11562,11522
9622,9928,11788,11134
9536,10415,11762,10632
9685,10951,11493,10121
10040,11413,11041,9722
10513,11706,10505,9523
10996,11776,10004,9552
11399,11614,9641,9782
11660,11254,9484,10158
11739,10776,9545,10617
11613,10281,9799,11095
11284,9871,10196,11514
10805,9616,10675,11782
10279,9555,11165,11802
9843,9688,11581,11538
9600,9993,11818,11062
9579,10434,11785,10515
9754,10944,11469,10037
10069,11417,10960,9710
10477,11725,10412,9553
10932,11783,9953,9569
11366,11586,9656,9757
11682,11207,9538,10114
11789,10748,9593,10609
11634,10301,9817,11155
11252,9928,10200,11611
10747,9669,10709,11835
10250,9568,11247,11765
9858,9669,11667,11445
9623,9986,11838,10983
9567,10470,11717,10488
9701,11000,11371,10036
10015,11440,10909,9689
10464,11694,10428,9502
10965,11732,9998,9517
11411,11570,9677,9750
11703,11246,9519,10173
11775,10811,9569,10705
11612,10330,9842,11228
11247,9895,10295,11623
10752,9606,10826,11802
10229,9538,11306,11731
9793,9703,11637,11423
9543,10052,11762,10954
9519,10503,11671,10429
9708,10973,11380,9963
10057,11389,10937,9642
10499,11682,10426,9510
10970,11780,9959,9577
11401,11639,9639,9827
11715,11271,9532,10226
11821,10763,9646,10727
11650,10250,9938,11246
11221,9848,10349,11654
10657,9620,10813,11825
10124,9578,11264,11704
9744,9715,11614,11345
9560,10015,11774,10868
9561,10452,11686,10390
9726,10962,11365,9989
10037,11437,10896,9704
10477,11752,10395,9561
10995,11815,9971,9590
11487,11610,9689,9820
11808,11211,9578,10250
11840,10722,9653,10800
11577,10241,9913,11321
11117,9842,10327,11665
10602,9583,10823,11761
10131,9515,11293,11623
9767,9664,11624,11315
9551,10014,11747,10903
9520,10500,11646,10449
9693,11025,11351,10017
10064,11474,10920,9683
10574,11753,10429,9524
11115,11803,9968,9596
11554,11608,9639,9892
11789,11204,9520,10342
11778,10678,9635,10840
11534,10154,9943,11287
11112,9747,10369,11606
10597,9532,10829,11740
10098,9526,11253,11658
9715,9714,11579,11365
9522,10060,11747,10917
9549,10517,11696,10415
9779,11029,11398,9974
10164,11501,10905,9680
10638,11809,10347,9574
11129,11837,9882,9658
11549,11567,9610,9915
11793,11094,9549,10316
11783,10565,9670,10804
11512,10102,9935,11285
11057,9765,10317,11642
10540,9578,10780,11779
10079,9551,11260,11664
9750,9703,11648,11339
9588,10044,11824,10892
9603,10551,11709,10423
9799,11121,11333,10003
10169,11590,10819,9691
10664,11817,10305,9543
11183,11756,9886,9606
11589,11467,9613,9886
11778,11046,9514,10332
11720,10579,9607,10847
11452,10132,9891,11314
11047,9765,10334,11638
10582,9542,10856,11763
10127,9520,11350,11670
9759,9727,11696,11373
9556,10136,11810,10918
9576,10658,11669,10394
9824,11171,11307,9918
10242,11564,10803,9602
10728,11761,10268,9507
11181,11729,9819,9630
11528,11475,9544,9931
11716,11054,9485,10351
11711,10557,9637,10828
11496,10088,9963,11294
11089,9741,10405,11664
10570,9569,10900,11831
10067,9595,11370,11719
9708,9806,11719,11341
9565,10176,11840,10811
9636,10657,11672,10282
9876,11165,11252,9869
10235,11577,10710,9617
10670,11780,10193,9536
11127,11723,9803,9628
11524,11438,9584,9893
11761,11014,9543,10319
11757,10551,9673,10856
11491,10130,9971,11383
11037,9799,10421,11749
10518,9602,10959,11840
10058,9585,11461,11643
9730,9785,11777,11244
9571,10187,11812,10758
9598,10706,11580,10276
9814,11209,11173,9865
10196,11574,10696,9583
10682,11736,10232,9482
11173,11687,9842,9595
11565,11451,9585,9920
11768,11071,9515,10406
11735,10602,9668,10950
11474,10125,10032,11427
11038,9741,10533,11732
10512,9545,11053,11799
10012,9584,11472,11615
9651,9839,11713,11224
9502,10240,11745,10718
9577,10707,11566,10209
9844,11163,11202,9801
10243,11538,10716,9562
10707,11757,10210,9520
11172,11754,9796,9670
11566,11504,9567,9991
11799,11055,9561,10443
11783,10526,9760,10965
11484,10049,10111,11450
10971,9722,10549,11762
10403,9576,11015,11800
9931,9614,11433,11562
9638,9825,11710,11139
9538,10190,11765,10655
9612,10672,11571,10205
9845,11184,11172,9853
10218,11607,10675,9625
10706,11819,10196,9552
11233,11757,9828,9667
11667,11450,9618,9993
11862,10996,9587,10491
11752,10499,9744,11045
11383,10046,10077,11498
10886,9702,10539,11732
10383,9524,11036,11721
9955,9552,11456,11505
9651,9795,11704,11147
9513,10216,11730,10711
9571,10735,11541,10256
9838,11242,11178,9854
10285,11627,10707,9588
10826,11808,10214,9528
11334,11747,9796,9706
11688,11447,9554,10080
11812,10972,9541,10562
11692,10430,9750,11045
11362,9949,10118,11443
10888,9625,10567,11689
10369,9503,11020,11733
9911,9587,11411,11557
9607,9850,11679,11186
9511,10252,11760,10699
9633,10744,11598,10209
9939,11255,11197,9824
10372,11670,10652,9610
10861,11860,10117,9588
11331,11745,9732,9750
11682,11366,9556,10074
11818,10853,9579,10522
11689,10346,9766,11021
11326,9937,10086,11463
10830,9666,10511,11734
10329,9546,10996,11762
9920,9595,11456,11545
9661,9832,11765,11154
9575,10257,11813,10685
9669,10811,11568,10227
9945,11356,11110,9845
10379,11725,10581,9597
10900,11817,10101,9540
11381,11644,9743,9702
11697,11289,9543,10065
11777,10842,9528,10555
11622,10378,9709,11063
11288,9959,10071,11479
10850,9647,10564,11723
10379,9508,11091,11753
9951,9587,11533,11567
9643,9893,11782,11187
9535,10366,11779,10682
9662,10896,11529,10162
9996,11364,11090,9748
10453,11674,10559,9528
10932,11772,10050,9534
11345,11640,9671,9742
11629,11305,9491,10102
11740,10840,9530,10555
11646,10344,9765,11040
11342,9919,10152,11480
10869,9646,10626,11776
10336,9561,11122,11822
9882,9670,11552,11576
9616,9955,11808,11108
9572,10380,11798,10561
9723,10884,11505,10077
10018,11364,11013,9735
10414,11694,10469,9559
10868,11784,10003,9554
11312,11621,9688,9721
11656,11265,9547,10062
11796,10814,9582,10552
11672,10363,9787,11105
11308,9974,10159,11580
10806,9694,10661,11828
10300,9569,11201,11780
9891,9646,11632,11478
9634,9942,11823,11029
9554,10409,11732,10536
9666,10935,11413,10079
9961,11388,10967,9720
10400,11669,10490,9513
10902,11741,10051,9505
11366,11609,9710,9717
11685,11305,9529,10125
11788,10874,9558,10652
11649,10386,9812,11181
11298,9934,10250,11590
10806,9624,10772,11790
10275,9533,11253,11743
9824,9674,11597,11458
9553,10001,11748,11004
9506,10439,11689,10485
9673,10909,11426,10013
10006,11341,11001,9675
10442,11661,10491,9523
10917,11792,10011,9567
11365,11678,9671,9796
11701,11326,9540,10181
11832,10820,9631,10674
11683,10297,9903,11196
11269,9879,10297,11617
10710,9632,10752,11811
10171,9569,11205,11720
9776,9683,11573,11388
9571,9964,11762,10927
9550,10389,11709,10452
9695,10900,11417,10041
9994,11393,10960,9740
10426,11737,10457,9575
10948,11829,10018,9580
11453,11647,9715,9789
11794,11258,9581,10201
11849,10771,9631,10743
11607,10284,9868,11266
11166,9871,10268,11627
10657,9595,10756,11752
10181,9506,11233,11646
9804,9631,11587,11364
9568,9962,11743,10967
9513,10440,11675,10514
9667,10969,11403,10071
10023,11436,10983,9715
10528,11739,10486,9534
11070,11813,10010,9581
11518,11638,9659,9855
11771,11246,9517,10287
11783,10725,9607,10778
11565,10198,9895,11230
11164,9780,10307,11569
10659,9545,10765,11736
10154,9517,11200,11687
9754,9684,11550,11419
9540,10014,11747,10983
9544,10464,11725,10478
9754,10978,11449,10021
10125,11464,10961,9707
10590,11791,10398,9578
11078,11844,9918,9638
11505,11596,9626,9872
11770,11139,9543,10256
11790,10617,9641,10738
11550,10151,9888,11227
11117,9801,10259,11609
10607,9594,10722,11781
10136,9546,11213,11698
9789,9676,11626,11393
9604,10001,11829,10953
9595,10500,11739,10477
9771,11070,11379,10043
10123,11551,10871,9711
10608,11797,10353,9542
11123,11763,9922,9581
11542,11500,9630,9838
11758,11097,9510,10269
11732,10638,9581,10782
11494,10187,9847,11263
11109,9806,10280,11613
10646,9563,10805,11768
10182,9517,11311,11702
9794,9702,11677,11421
9567,10094,11814,10970
9563,10605,11695,10439
9790,11118,11349,9952
10189,11520,10855,9620
10664,11741,10320,9502
11119,11739,9859,9603
11483,11514,9565,9883
11699,11114,9482,10292
11728,10622,9614,10768
11542,10146,9924,11249
11151,9781,10359,11642
10632,9588,10854,11836
10116,9589,11333,11747
9736,9778,11696,11383
9570,10129,11839,10858
9617,10598,11695,10327
9835,11104,11299,9903
10177,11532,10768,9635
10604,11764,10249,9534
11066,11741,9846,9604
11482,11485,9608,9849
11750,11078,9543,10265
11779,10616,9654,10801
11539,10184,9936,11341
11095,9835,10376,11727
10575,9615,10910,11841
10101,9574,11418,11665
9754,9751,11748,11284
9572,10133,11810,10806
9575,10641,11608,10324
9771,11147,11224,9904
10138,11533,10759,9605
10618,11727,10291,9483
11120,11710,9887,9573
11533,11500,9609,9880
11764,11133,9515,10356
11759,10662,9648,10899
11518,10172,9994,11386
11090,9769,10484,11707
10563,9552,10996,11797
10053,9568,11421,11638
9674,9799,11683,11268
9502,10182,11744,10774
9554,10642,11597,10264
9802,11105,11258,9845
10189,11501,10783,9587
10652,11750,10272,9522
11126,11780,9839,9651
11539,11552,9588,9953
11796,11112,9558,10393
11804,10578,9736,10911
11523,10090,10066,11403
11023,9744,10491,11734
10454,9580,10951,11800
9973,9595,11378,11593
9662,9783,11680,11192
9541,10132,11769,10717
9594,10608,11608,10265
9809,11129,11232,9899
10171,11575,10740,9652
10657,11817,10252,9555
11191,11782,9866,9647
11640,11493,9633,9952
11857,11045,9577,10437
11769,10546,9711,10986
11422,10083,10025,11448
10939,9724,10474,11707
10438,9527,10971,11727
10001,9532,11406,11541
9680,9754,11681,11205
9520,10160,11742,10777
9556,10676,11582,10317
9806,11193,11236,9899
10241,11599,10769,9610
10778,11805,10264,9527
11291,11766,9828,9680
11657,11484,9563,10034
11803,11017,9526,10502
11709,10478,9712,10982
11404,9990,10063,11393
10947,9651,10502,11666
10431,9508,10959,11745
9961,9569,11368,11599
9637,9812,11664,11248
9518,10201,11775,10764
9619,10690,11639,10264
9908,11209,11251,9862
10327,11641,10706,9626
10810,11852,10162,9581
11281,11761,9760,9719
11645,11404,9563,10022
11807,10903,9563,10457
11711,10399,9728,10957
11375,9983,10033,11415
10896,9694,10452,11717
10392,9555,10942,11779
9969,9582,11419,11590
9690,9797,11756,11212
9580,10209,11830,10743
9651,10759,11606,10274
9908,11308,11160,9875
10328,11692,10632,9608
10839,11809,10145,9528
11324,11664,9771,9666
11660,11332,9552,10009
11771,10899,9514,10489
11650,10437,9674,11003
11342,10009,10022,11439
10915,9680,10511,11712
10441,9517,11045,11772
9996,9574,11503,11607
9667,9860,11771,11238
9535,10317,11792,10732
9638,10841,11562,10204
9951,11312,11139,9774
10394,11639,10613,9537
10866,11766,10098,9520
11288,11665,9704,9706
11595,11356,9503,10048
11739,10904,9518,10495
11678,10407,9736,10985
11396,9971,10109,11445
10932,9676,10580,11765
10393,9568,11079,11836
9922,9654,11519,11610
9634,9917,11793,11153
9566,10325,11808,10608
9693,10822,11540,10118
9968,11308,11068,9763
10351,11661,10529,9569
10803,11784,10055,9542
11260,11654,9723,9688
11627,11322,9561,10013
11800,10881,9573,10496
11707,10424,9760,11055
11362,10020,10118,11546
10864,9719,10613,11816
10351,9570,11153,11790
9926,9624,11593,11509
9648,9897,11805,11073
9546,10347,11743,10587
9634,10869,11452,10126
9910,11335,11025,9753
10338,11642,10553,9527
10843,11746,10105,9497
11321,11645,9747,9686
11666,11361,9543,10079
11796,10937,9548,10601
11682,10441,9783,11132
11347,9972,10206,11554
10858,9642,10717,11775
10322,9529,11197,11752
9858,9646,11553,11492
9567,9952,11730,11055
9497,10376,11703,10543
9642,10846,11470,10066
9958,11291,11063,9713
10387,11637,10558,9538
10866,11801,10065,9560
11327,11715,9704,9768
11685,11378,9550,10136
11840,10873,9618,10621
11713,10343,9868,11142
11315,9912,10243,11577
10762,9647,10688,11795
10220,9562,11144,11734
9812,9653,11529,11430
9587,9914,11748,10987
9544,10327,11730,10515
9669,10839,11467,10097
9952,11347,11025,9778
10378,11718,10520,9590
10902,11839,10067,9571
11418,11679,9743,9758
11775,11303,9584,10153
11853,10819,9611,10683
11635,10327,9826,11208
11213,9903,10207,11587
10713,9610,10690,11739
10236,9499,11173,11667
9844,9602,11549,11412
9588,9913,11737,11031
9510,10382,11701,10579
9644,10915,11453,10124
9986,11396,11043,9750
10481,11722,10542,9545
11023,11820,10051,9568
11479,11665,9680,9819
11748,11287,9515,10233
11785,10773,9581,10714
11595,10244,9848,11171
11216,9816,10246,11531
10721,9563,10701,11728
10213,9513,11146,11713
9798,9658,11518,11472
9560,9970,11746,11048
9541,10412,11753,10539
9731,10928,11496,10069
10085,11425,11017,9734
10539,11772,10449,9582
11024,11847,9956,9619
11458,11623,9644,9831
11743,11184,9539,10196
11794,10672,9614,10671
11586,10202,9844,11169
11175,9841,10203,11575
10672,9616,10664,11780
10195,9546,11166,11729
9830,9653,11601,11445
9622,9960,11831,11012
9590,10449,11765,10530
9744,11018,11423,10082
10078,11508,10923,9732
10548,11775,10402,9542
11062,11767,9961,9558
11492,11530,9652,9793
11733,11149,9509,10207
11743,10698,9558,10717
11535,10245,9806,11211
11169,9850,10229,11586
10711,9586,10755,11770
10238,9516,11271,11731
9830,9679,11655,11466
9580,10052,11813,11020
9553,10551,11716,10485
9757,11060,11391,9987
10136,11474,10908,9639
10599,11719,10373,9501
11057,11747,9902,9579
11435,11553,9589,9839
11680,11172,9485,10234
11741,10689,9594,10710
11585,10205,9889,11201
11212,9823,10315,11617
10693,9608,10808,11837
10165,9586,11292,11771
9766,9751,11670,11421
9577,10082,11835,10904
9599,10538,11717,10372
9795,11044,11343,9940
10120,11484,10828,9656
10539,11744,10308,9536
11004,11757,9892,9583
11440,11530,9634,9809
11737,11140,9547,10212
11798,10681,9638,10746
11583,10239,9903,11297
11152,9871,10331,11703
10629,9629,10861,11838
10145,9564,11371,11686
9779,9717,11717,11322
9576,10079,11804,10855
9556,10576,11632,10375
9730,11084,11275,9947
10081,11490,10821,9632
10556,11715,10352,9488
11065,11730,9935,9556
11499,11546,9636,9843
11757,11192,9519,10307
11779,10721,9629,10847
11559,10219,9957,11341
11141,9799,10431,11679
10615,9560,10938,11791
10095,9553,11368,11659
9700,9761,11649,11311
9507,10125,11741,10831
9535,10577,11626,10323
9763,11046,11312,9894
10137,11462,10850,9616
10598,11741,10333,9529
11080,11802,9884,9635
11510,11596,9610,9917
11790,11165,9557,10343
11821,10629,9711,10856
11560,10130,10021,11354
11073,9769,10431,11702
10508,9585,10887,11797
10018,9578,11323,11621
9691,9744,11648,11245
9547,10076,11772,10781
9579,10544,11644,10327
9775,11074,11291,9947
10126,11542,10804,9680
10608,11812,10309,9560
11148,11802,9904,9629
11611,11530,9649,9913
11847,11091,9570,10381
11784,10592,9679,10926
11459,10123,9973,11396
10992,9750,10409,11678
10496,9533,10905,11731
10051,9516,11354,11576
9713,9715,11658,11262
9530,10107,11751,10843
9544,10619,11619,10379
9775,11145,11292,9944
10199,11569,10828,9633
10731,11798,10314,9526
11245,11781,9861,9656
11623,11517,9574,9988
11789,11062,9514,10440
11724,10527,9676,10918
11446,10033,10009,11342
11006,9680,10440,11640
10494,9517,10899,11753
10015,9555,11325,11639
9669,9779,11646,11307
9528,10155,11786,10828
9607,10639,11675,10320
9877,11162,11303,9899
10282,11609,10759,9643
10756,11841,10208,9574
11227,11775,9791,9688
11605,11440,9572,9971
11793,10955,9549,10393
11729,10455,9694,10892
11424,10031,9983,11366
10960,9728,10395,11698
10456,9567,10890,11793
10020,9571,11383,11631
9720,9767,11742,11268
9587,10163,11842,10799
9636,10706,11639,10320
9872,11259,11206,9906
10275,11657,10683,9620
10776,11798,10191,9518
11265,11681,9804,9632
11621,11374,9564,9955
11763,10957,9504,10425
11675,10499,9643,10943
11393,10062,9978,11397
10979,9715,10460,11698
10502,9530,11000,11786
10043,9564,11470,11642
9693,9828,11758,11285
9536,10269,11800,10780
9617,10783,11593,10245
9907,11258,11186,9804
10333,11602,10668,9548
10801,11756,10150,9509
11230,11687,9741,9673
11559,11406,9518,9998
11733,10970,9510,10437
11705,10473,9708,10932
11449,10022,10070,11407
10994,9709,10534,11751
10449,9578,11034,11847
9963,9639,11482,11642
9653,9879,11775,11195
9562,10270,11814,10655
9665,10759,11573,10161
9919,11251,11121,9795
10289,11625,10591,9582
10738,11781,10110,9535
11205,11685,9761,9659
11597,11378,9577,9967
11803,10945,9568,10442
11739,10485,9736,11004
11413,10066,10079,11510
10920,9745,10564,11800
10401,9573,11102,11798
9962,9602,11550,11537
9664,9854,11784,11117
9539,10286,11752,10638
9605,10803,11490,10175
9862,11278,11084,9790
10279,11612,10617,9545
10784,11749,10162,9492
11275,11679,9786,9660
11644,11414,9559,10037
11801,10997,9541,10550
11711,10494,9756,11082
11393,10010,10161,11515
10910,9662,10660,11755
10371,9526,11139,11758
9894,9620,11507,11524
9584,9905,11709,11107
9492,10314,11715,10603
9614,10782,11513,10121
9914,11239,11126,9753
10335,11611,10623,9558
10815,11806,10120,9557
11287,11748,9738,9744
11665,11426,9561,10094
11843,10926,9605,10567
11739,10389,9833,11088
11358,9946,10190,11533
10816,9663,10624,11775
10273,9557,11082,11745
9852,9626,11483,11471
9607,9867,11731,11047
9541,10267,11748,10580
9647,10777,11515,10153
9914,11301,11088,9817
10332,11697,10581,9609
10854,11846,10115,9565
11380,11708,9771,9729
11753,11345,9589,10105
11853,10866,9591,10623
11660,10371,9784,11149
11259,9938,10148,11543
10771,9628,10622,11726
10291,9497,11112,11686
9887,9576,11510,11459
9611,9868,11728,11094
9511,10326,11724,10644
9624,10861,11500,10179
9950,11355,11101,9785
10436,11701,10598,9557
10974,11822,10094,9556
11435,11689,9703,9784
11721,11327,9515,10178
11783,10822,9558,10650
11622,10293,9803,11111
11267,9856,10187,11490
10785,9584,10639,11718
10274,9512,11093,11737
9843,9635,11486,11523
9583,9930,11741,11111
9541,10361,11777,10599
9711,10876,11540,10116
10047,11383,11069,9762
10489,11747,10499,9589
10968,11846,9996,9601
11408,11647,9666,9791
11712,11230,9538,10139
11794,10727,9592,10605
11620,10257,9802,11110
11233,9884,10150,11538
10739,9641,10608,11776
10255,9548,11121,11756
9872,9634,11574,11493
9641,9923,11829,11067
9586,10398,11787,10582
9718,10965,11463,10121
10032,11463,10973,9754
10490,11748,10453,9544
10999,11768,10003,9537
11440,11560,9676,9750
11707,11201,9511,10149
11749,10760,9540,10653
11573,10304,9770,11157
11228,9897,10181,11556
10776,9611,10706,11770
10292,9519,11230,11756
9867,9658,11629,11508
9594,10011,11809,11068
9542,10497,11734,10531
9723,11002,11430,10024
10083,11425,10961,9661
10535,11692,10430,9503
10993,11752,9950,9557
11387,11589,9617,9798
11658,11232,9490,10179
11753,10756,9578,10652
11626,10266,9856,11154
11270,9867,10271,11590
10753,9630,10761,11834
10214,9584,11249,11790
9797,9725,11640,11457
9586,10035,11825,10949
9585,10477,11734,10420
9757,10980,11387,9980
10064,11435,10887,9681
10475,11723,10369,9540
10944,11771,9940,9567
11396,11574,9663,9772
11722,11202,9554,10162
11814,10746,9623,10693
11624,10294,9871,11252
11205,9909,10285,11675
10683,9644,10808,11832
10189,9556,11321,11702
9807,9685,11681,11359
9582,10026,11796,10904
9540,10510,11655,10427
9693,11021,11324,9992
10027,11445,10885,9662
10496,11700,10415,9496
11012,11748,9985,9540
11465,11590,9664,9808
11748,11250,9524,10259
11796,10778,9612,10795
11596,10265,9921,11294
11190,9828,10380,11646
10666,9570,10878,11782
10140,9539,11313,11678
9729,9724,11613,11355
9514,10071,11734,10889
9520,10513,11652,10384
9728,10986,11366,9943
10090,11421,10916,9647
10547,11730,10395,9538
11034,11821,9930,9621
11479,11637,9633,9884
11780,11215,9557,10294
11834,10678,9687,10800
11595,10171,9976,11301
11122,9796,10370,11668
10563,9592,10821,11792
10066,9564,11266,11647
9723,9707,11615,11297
9558,10022,11771,10845
9568,10483,11677,10390
9746,11018,11347,9997
10085,11506,10868,9710
10561,11803,10365,9567
11104,11818,9944,9612
11578,11565,9666,9874
11834,11135,9563,10326
11794,10639,9649,10863
11495,10164,9922,11342
11045,9779,10345,11646
10556,9543,10839,11732
10103,9504,11302,11609
9749,9680,11632,11318
9544,10056,11757,10909
9536,10563,11655,10439
9748,11096,11345,9990
10158,11536,10885,9658
10682,11787,10364,9527
11197,11792,9895,9633
11584,11548,9587,9943
11772,11108,9503,10379
11735,10579,9642,10854
11485,10080,9957,11289
11066,9712,10379,11612
10559,9530,10840,11759
10069,9546,11280,11676
9706,9748,11627,11364
9541,10109,11795,10890
9597,10587,11709,10374
9847,11114,11352,9937
10236,11573,10813,9661
10700,11826,10255,9569
11171,11786,9823,9660
11562,11475,9584,9922
11776,11007,9539,10330
11745,10512,9664,10826
11471,10082,9936,11316
11024,9764,10340,11676
10521,9582,10838,11804
10073,9564,11344,11670
9752,9738,11727,11319
9596,10119,11850,10853
9621,10653,11669,10367
9835,11207,11252,9939
10220,11618,10736,9633
10713,11783,10240,9510
11204,11696,9839,9602
11579,11415,9580,9905
11751,11015,9498,10363
11697,10562,9616,10883
11442,10118,9935,11354
11042,9753,10412,11681
10564,9544,10954,11797
10091,9554,11435,11675
9719,9797,11741,11329
9539,10220,11805,10827
9595,10725,11621,10287
9864,11201,11233,9836
10273,11562,10725,9562
10735,11743,10205,9501
11172,11708,9781,9643
11522,11456,9535,9951
11727,11035,9506,10380
11731,10538,9685,10877
11499,10076,10032,11368
11054,9742,10488,11735
10505,9588,10986,11855
10003,9626,11443,11668
9674,9843,11752,11236
9559,10216,11816,10703
9639,10695,11603,10207
9873,11191,11175,9829
10230,11586,10654,9600
10674,11776,10167,9531
11151,11714,9801,9634
11566,11431,9597,9924
11801,11010,9565,10389
11768,10545,9713,10953
11460,10113,10040,11471
10975,9771,10514,11781
10451,9577,11047,11802
9999,9583,11504,11564
9682,9811,11759,11162
9535,10227,11756,10692
9579,10737,11526,10227
9817,11221,11142,9831
10221,11580,10682,9567
10726,11750,10220,9490
11230,11709,9827,9636
11621,11465,9577,9996
11804,11054,9536,10499
11737,10546,9729,11030
11436,10049,10115,11472
10962,9682,10601,11733
10420,9525,11078,11762
9933,9596,11458,11556
9605,9859,11685,11160
9490,10254,11723,10666
9590,10718,11553,10179
9874,11187,11187,9796
10286,11583,10689,9580
10766,11808,10176,9555
11248,11777,9774,9720
11643,11472,9573,10052
11842,10976,9593,10513
11760,10436,9798,11030
11400,9982,10136,11486
10869,9683,10559,11752
10327,9556,11018,11755
9895,9602,11434,11512
9630,9823,11712,11107
9543,10209,11764,10646
9628,10718,11560,10212
9878,11254,11148,9860
10286,11673,10643,9628
10808,11847,10164,9561
11339,11732,9800,9701
11727,11384,9595,10057
11849,10912,9573,10562
11682,10417,9743,11088
11304,9975,10090,11497
10830,9650,10556,11708
10350,9498,11051,11702
9935,9554,11468,11505
9638,9826,11717,11156
9515,10273,11744,10710
9606,10807,11544,10234
9916,11312,11157,9821
10391,11677,10652,9570
10924,11820,10137,9546
11389,11709,9728,9749
11690,11365,9518,10124
11778,10872,9537,10585
11646,10345,9761,11050
11317,9898,10130,11447
10850,9609,10578,11705
10336,9515,11041,11758
9890,9616,11454,11570
9608,9893,11735,11171
9543,10313,11797,10658
9692,10824,11582,10162
10009,11339,11121,9790
10437,11718,10552,9595
10910,11841,10038,9585
11355,11669,9692,9751
11680,11274,9541,10082
11791,10785,9573,10539
11651,10314,9764,11050
11290,9930,10099,11500
10806,9669,10554,11769
10315,9555,11074,11780
9916,9617,11546,11538
9663,9886,11824,11120
9584,10348,11805,10632
9692,10910,11501,10161
9986,11414,11022,9779
